ds,yhat
2024-01-01,1343.6293255122641
2024-01-02,1234.456803454076
2024-01-03,902.7113933668231
2024-01-04,720.0363239694536
2024-01-05,723.5447962528398
2024-01-06,751.6609565466475
2024-01-07,947.4967066281981
2024-01-08,1125.687182837085
2024-01-09,1022.8749585807392
2024-01-10,699.9248486212334
2024-01-11,528.2738093680064
2024-01-12,544.7896213534907
2024-01-13,587.6177077118916
2024-01-14,799.5644523985187
2024-01-15,994.9396888408246
2024-01-16,910.0482420760702
2024-01-17,605.4122256750572
2024-01-18,452.1284093467007
2024-01-19,486.73416822969216
2024-01-20,547.0611999938884
2024-01-21,775.6252173196087
2024-01-22,986.4741455328983
2024-01-23,915.6845860603166
2024-01-24,623.588145906057
2024-01-25,481.1318714471074
2024-01-26,524.7462448423316
2024-01-27,592.1999027744682
2024-01-28,825.9892843252832
2024-01-29,1040.1857630790382
2024-01-30,970.93007389246
2024-01-31,678.6557072088747
2024-02-01,534.4456025136002
2024-02-02,574.8957105453471
2024-02-03,637.964709593942
2024-02-04,866.3582200888732
2024-02-05,1074.37021706657
2024-02-06,998.3715992714183
2024-02-07,699.0277359411666
2024-02-08,547.6494670252965
2024-02-09,581.0512631223917
2024-02-10,637.3959562403178
2024-02-11,859.5744975164752
2024-02-12,1062.043537040788
2024-02-13,981.3108616158787
2024-02-14,678.1505685952197
2024-02-15,523.9524876488717
2024-02-16,555.5795714609379
2024-02-17,611.21265994844
2024-02-18,833.7310470280846
2024-02-19,1037.551599209423
2024-02-20,959.1163971728322
2024-02-21,659.1107000778649
2024-02-22,508.8156519291174
2024-02-23,544.9693488186197
2024-02-24,605.6155623135097
2024-02-25,833.4884346901185
2024-02-26,1042.8557806049157
2024-02-27,970.0108550710929
2024-02-28,675.494279674244
2024-03-01,571.4919369345068
2024-03-02,636.5511520333805
2024-03-03,868.2674442066888
2024-03-04,1080.832300971868
2024-03-05,1010.4824314763566
2024-03-06,717.7224257334133
2024-03-07,573.6813098439452
2024-03-08,614.976544557345
2024-03-09,679.5647181252052
2024-03-10,910.1272324280018
2024-03-11,1120.9136272523313
2024-03-12,1048.2324388529448
2024-03-13,752.6671617278437
2024-03-14,605.4426326785606
2024-03-15,643.2736345293
2024-03-16,704.2168872093594
2024-03-17,931.053890329353
2024-03-18,1138.1315230361843
2024-03-19,1061.8503687039897
2024-03-20,762.8825801328469
2024-03-21,612.5237417091407
2024-03-22,647.5524022469187
2024-03-23,706.0766447441376
2024-03-24,930.9160933263108
2024-03-25,1136.4420872082576
2024-03-26,1059.0659846164147
2024-03-27,759.4573962508041
2024-03-28,608.8967781069433
2024-03-29,644.1360213051889
2024-03-30,703.246361055083
2024-03-31,929.0019544509862
2024-04-01,1135.7218016094992
2024-04-02,1059.759914803648
2024-04-03,761.7254757434827
2024-04-04,612.8373520693225
2024-04-05,649.7743800634353
2024-04-06,710.5615544104879
2024-04-07,937.9186853355719
2024-04-08,1146.1158994092066
2024-04-09,1071.4649845551962
2024-04-10,774.5404689059251
2024-04-11,626.5347885052953
2024-04-12,664.1211178618071
2024-04-13,725.3031344932564
2024-04-14,952.8000298775501
2024-04-15,1160.889418291719
2024-04-16,1085.8980395455847
2024-04-17,788.4220012415692
2024-04-18,639.680950378234
2024-04-19,676.3797865800151
2024-04-20,736.5572284209511
2024-04-21,962.9695863084326
2024-04-22,1169.9324338792667
2024-04-23,1093.8101125192334
2024-04-24,795.2348502469189
2024-04-25,645.459916371387
2024-04-26,681.2204509303231
2024-04-27,740.5813015800728
2024-04-28,966.3202366085934
2024-04-29,1172.7502992376974
2024-04-30,1096.2659194032901
2024-05-01,797.5052031199634
2024-05-02,647.7221694892032
2024-05-03,683.6478811413544
2024-05-04,743.338717799689
2024-05-05,969.5601391526258
2024-05-06,1176.6286127611877
2024-05-07,1100.9016173357973
2024-05-08,802.997471456643
2024-05-09,654.1493725280657
2024-05-10,691.0672442642309
2024-05-11,751.7866823218927
2024-05-12,979.053322802557
2024-05-13,1187.1652913720802
2024-05-14,1112.4636293775618
2024-05-15,815.552437398744
2024-05-16,667.6531159507279
2024-05-17,705.4663011075196
2024-05-18,767.0207885399465
2024-05-19,995.0577786645944
2024-05-20,1203.8731122943698
2024-05-21,1129.807407894671
2024-05-22,833.4410233255488
2024-05-23,686.0224141609864
2024-05-24,724.2551590292514
